,cod_cidades,city,uf,atendido_loggi,distancia_cajamar,populacao,area_em_km2,tem_malha,latitude,longitude,idh_renda,indice_roubo,quantidade_decolagens,latitude_airport,longitude_airport,caminhao,caminhonete,camioneta,motocicleta,preco_gasolina,preco_diesel_s10,area_urbana,pib,distance_airport,viabilidade_terrestre,viabilidade_aerea,custo_indireto,custo_direto,lucro,score
18,3523107,ITAQUAQUECETUBA,SP,não,42,360698,81.777,0,-23.4835,-46.3457,0.665,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,3459.0,7040.0,4642.0,18503.0,4.393466666666667,3.5988974358974364,72.4,5742348.0,14.053977083641403,0.14152678076331804,1.0,0.4748705035815566,0.010584070335301538,0.31772657489953965,0.14697874441247846
523,4208906,JARAGUA DO SUL,SC,não,554,170879,532.59,0,-26.4851,-49.0713,0.7929999999999999,0.44154354715814353,1732701.0,-27.670278549194336,-48.5525016784668,2659.0,8256.0,4846.0,18665.0,4.175,3.335,16.7,6996440.0,141.04460638046217,0.13969539545838017,0.13849427848216947,0.21257771195724232,0.14215767749160943,0.31087869329263035,0.1458006042946513
78,3508504,CACAPAVA,SP,não,113,92586,369.907,0,-23.0992,-45.7076,0.754,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,1206.0,3439.0,1743.0,9738.0,4.277,3.497,12.7,3846022.0,86.7281804676545,0.05927097243796826,1.0,0.4062989796605498,0.05396277100776984,0.27555262361197336,0.14507231346156632
31,3513009,COTIA,SP,não,36,237857,323.891,0,-23.6022,-46.919,0.789,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,3235.0,10435.0,6884.0,19203.0,4.393466666666667,3.5988974358974364,22.946363636363618,10118348.0,49.14009753462728,0.17539046937698388,1.0,0.4748705035815566,0.025735929416375408,0.33399615845072006,0.14260079286636762
23,3554102,TAUBATE,SP,não,143,307964,625.916,0,-23.0104,-45.5593,0.778,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,3268.0,11995.0,7652.0,49584.0,4.379,3.559,25.8,15436985.0,104.70921920853131,0.23381498945331172,1.0,0.45538224944115696,0.06648305551830871,0.3640462669746039,0.14062313689964245
320,4119152,PINHAIS,PR,não,407,129450,61.007,0,-25.4429,-49.1927,0.7609999999999999,0.4800804175541046,3238576.0,-25.5284996033,-49.175800323500006,2342.0,5948.0,3295.0,12741.0,4.402125,3.4268571428571426,26.1,5157399.0,9.633784374023074,0.10285921076196483,0.2698110547033839,0.31048051412157146,0.06104300315337886,0.29914155666039827,0.1390765673759914
15,3538709,PIRACICABA,SP,não,184,397309,1369.511,0,-22.7338,-47.6476,0.797,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,7934.0,23751.0,11654.0,54516.0,4.393466666666667,3.5988974358974364,31.5,22040590.0,143.25368272009206,0.38920891776468436,1.0,0.4748705035815566,0.08997066119156673,0.4144409636388154,0.13859451016516472
54,3547304,SANTANA DE PARNAIBA,SP,não,43,131971,183.816,0,-23.4439,-46.9178,0.8759999999999999,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,2017.0,6152.0,6116.0,10726.0,4.393466666666667,3.5988974358974364,15.4,8065197.0,45.4565423310089,0.12083014984139154,1.0,0.4748705035815566,0.025061028709940397,0.3434108891351322,0.13838680138200798
314,4105805,COLOMBO,PR,não,408,237424,198.007,0,-25.2925,-49.2262,0.715,0.4800804175541046,3238576.0,-25.5284996033,-49.175800323500006,4520.0,9464.0,3970.0,21464.0,4.402125,3.4268571428571426,36.7,4359160.0,26.631031791674815,0.16492763606993083,0.2698110547033839,0.31048051412157146,0.06894488983111803,0.28998977494128136,0.1372818208927562
26,3552809,TABOAO DA SERRA,SP,não,22,279699,20.478,0,-23.6019,-46.7526,0.742,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,2718.0,8209.0,6126.0,22996.0,4.393466666666667,3.5988974358974364,20.6,7326979.0,33.976920493410866,0.15725870511528245,1.0,0.4748705035815566,0.016802149649262396,0.29976885478645926,0.1368352517117341
